Оригинал,Для вставки в Babel
Endosphere Full Body,"_(""Endosphere Full Body"")"
Endosphere Parte abajo,"_(""Endosphere Parte abajo"")"
Endosphere Parte arriba,"_(""Endosphere Parte arriba"")"
Estampado en todas las uñas,"_(""Estampado en todas las uñas"")"
Extension rellenar 1 uña,"_(""Extension rellenar 1 uña"")"
Extensiones de pelo (depende de categoria de pelo y unidades),"_(""Extensiones de pelo (depende de categoria de pelo y unidades)"")"
Extensiones de uñas talla L sin manicura,"_(""Extensiones de uñas talla L sin manicura"")"
Extensiones de uñas talla M sin manicura,"_(""Extensiones de uñas talla M sin manicura"")"
Extensiones de uñas talla S sin manicura,"_(""Extensiones de uñas talla S sin manicura"")"
Extensiones de uñas talla XL sin manicura,"_(""Extensiones de uñas talla XL sin manicura"")"
Fisioterapia,"_(""Fisioterapia"")"
Laminación de cejas + coloración + corrección,"_(""Laminación de cejas + coloración + corrección"")"
Laminación de pestañas + coloración,"_(""Laminación de pestañas + coloración"")"
Laminación de pestañas + laminación de cejas,"_(""Laminación de pestañas + laminación de cejas"")"
Laser Axilas,"_(""Laser Axilas"")"
Laser Bikini plus,"_(""Laser Bikini plus"")"
Laser Brazos,"_(""Laser Brazos"")"
Laser Espalada,"_(""Laser Espalada"")"
Laser Ingless,"_(""Laser Ingless"")"
Laser Linia bikini,"_(""Laser Linia bikini"")"
Laser Masculino Bikini full,"_(""Laser Masculino Bikini full"")"
Laser Masculino Braso entero,"_(""Laser Masculino Braso entero"")"
Laser Masculino Espalda,"_(""Laser Masculino Espalda"")"
Laser Masculino Ingles,"_(""Laser Masculino Ingles"")"
Laser Masculino Media pierna,"_(""Laser Masculino Media pierna"")"
Laser Masculino Nuca,"_(""Laser Masculino Nuca"")"
Laser Masculino Pecho,"_(""Laser Masculino Pecho"")"
Laser Masculino Pierna entera,"_(""Laser Masculino Pierna entera"")"
Laser Medio pierna,"_(""Laser Medio pierna"")"
Laser Pecho,"_(""Laser Pecho"")"
Laser Pierna entera,"_(""Laser Pierna entera"")"
Laser labios,"_(""Laser labios"")"
Linia bikini (Cera),"_(""Linia bikini (Cera)"")"
Manicura completa con esmalte normal,"_(""Manicura completa con esmalte normal"")"
Manicura completa sin esmalte,"_(""Manicura completa sin esmalte"")"
Manicura con esmalte normal niñas 12 años,"_(""Manicura con esmalte normal niñas 12 años"")"
Manicura japonesa sin esmalte,"_(""Manicura japonesa sin esmalte"")"
Maquillaje de dia,"_(""Maquillaje de dia"")"
Maquillaje de noche,"_(""Maquillaje de noche"")"
Maquillaje de novia,"_(""Maquillaje de novia"")"
Masaje Anticelulítico,"_(""Masaje Anticelulítico"")"
Masaje Gua Sha 30 min,"_(""Masaje Gua Sha 30 min"")"
Masaje Gua Sha 45 min,"_(""Masaje Gua Sha 45 min"")"
Masaje clásico,"_(""Masaje clásico"")"
Masaje con ventosas,"_(""Masaje con ventosas"")"
Masaje corporal,"_(""Masaje corporal"")"
Masaje de drenaje linfático,"_(""Masaje de drenaje linfático"")"
Masaje de espalda,"_(""Masaje de espalda"")"
Masaje deportivo,"_(""Masaje deportivo"")"
Masaje espalda 45,"_(""Masaje espalda 45"")"
Masaje facial 30 min,"_(""Masaje facial 30 min"")"
Masaje facial 45 min,"_(""Masaje facial 45 min"")"
Masaje facial 60 min,"_(""Masaje facial 60 min"")"
Masaje facial clasico ,"_(""Masaje facial clasico "")"
Masaje facial modelador,"_(""Masaje facial modelador"")"
Masaje relajante,"_(""Masaje relajante"")"
"Matiz de pelo (depende de longitud, lavado y secado no incluiden) ","_(""Matiz de pelo (depende de longitud, lavado y secado no incluiden) "")"
Media piernas (Cera),"_(""Media piernas (Cera)"")"
Parafinoterapia para manos,"_(""Parafinoterapia para manos"")"
Parafinoterapia para pies,"_(""Parafinoterapia para pies"")"
Pedicura completa con esmalte semipermanente,"_(""Pedicura completa con esmalte semipermanente"")"
Pedicura completa masculina,"_(""Pedicura completa masculina"")"
Pedicura completa sin esmalte,"_(""Pedicura completa sin esmalte"")"
Peeling para cuero cabelludo,"_(""Peeling para cuero cabelludo"")"
Peinado cóctel con lavado,"_(""Peinado cóctel con lavado"")"
Peinado de celebración con lavado,"_(""Peinado de celebración con lavado"")"
Piernas enteras (Cera),"_(""Piernas enteras (Cera)"")"
Presoterapia,"_(""Presoterapia"")"
Primer corte + tratamiento de regalo,"_(""Primer corte + tratamiento de regalo"")"
Primera manicura con esmalte  semipermanente,"_(""Primera manicura con esmalte  semipermanente"")"
Primera sesión de Endoesfera Full body,"_(""Primera sesión de Endoesfera Full body"")"
Protección adicional al teñir el pelo,"_(""Protección adicional al teñir el pelo"")"
Quitar Extensiones por pieza,"_(""Quitar Extensiones por pieza"")"
Quitar esmalte semipermanente,"_(""Quitar esmalte semipermanente"")"
Quitar uñas de gel,"_(""Quitar uñas de gel"")"
Recapsulación de extensiones por pieza,"_(""Recapsulación de extensiones por pieza"")"
Recorte de barba - masculino,"_(""Recorte de barba - masculino"")"
Tinte de cejas,"_(""Tinte de cejas"")"
Tinte de pestañas,"_(""Tinte de pestañas"")"
Tokio Inkarami Corto,"_(""Tokio Inkarami Corto"")"
Tokio Inkarami media,"_(""Tokio Inkarami media"")"
Tokio Inkarami pelo largo,"_(""Tokio Inkarami pelo largo"")"
Tokio Inkarami pelo muy largo (grueso),"_(""Tokio Inkarami pelo muy largo (grueso)"")"
"Tratamientos PH, Joico, Hadat, Redken Adicional","_(""Tratamientos PH, Joico, Hadat, Redken Adicional"")"
laminación de cejas,"_(""laminación de cejas"")"
tinte de pestañas,"_(""tinte de pestañas"")"
Сinturón abdominal de Endosphere,"_(""Сinturón abdominal de Endosphere"")"
